source_protocol,method,hyperparams,n_selected,selected
stage1_first_benchmark,graph_independent_spearman,"{""threshold"": 0.75}",32,syn_jaro_winkler | syn_cosine_trigrams | cls_minkowski | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h0_count_combined | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,greedy_spearman,"{""threshold"": 0.8}",32,syn_jaro_winkler | syn_cosine_bigrams | cls_euclidean | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,greedy_pearson,"{""threshold"": 0.8}",38,syn_jaro_winkler | syn_cosine_bigrams | cls_euclidean | cls_chebyshev | syn_lcs_ratio | syn_jaccard_trigrams | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | syn_len_b | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | syn_len_a | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | tda_h2_count_combined | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_count_src | tda_h2_entropy_src | tda_h2_count_tgt
stage1_first_benchmark,greedy_kendall,"{""threshold"": 0.8}",40,syn_jaro_winkler | syn_cosine_bigrams | syn_cosine_trigrams | cls_euclidean | cls_canberra | syn_jaccard_bigrams | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h0_count_combined | tda_h1_entropy_tgt | syn_len_b | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_count_combined | syn_len_a | tda_h1_max_life_src | tda_h1_entropy_src | tda_h0_count_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,cluster_spearman,"{""threshold"": 0.8}",32,syn_jaro_winkler | syn_cosine_bigrams | cls_euclidean | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,graph_independent_spearman,"{""threshold"": 0.8}",32,syn_jaro_winkler | syn_cosine_bigrams | cls_minkowski | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,greedy_spearman,"{""threshold"": 0.85}",33,syn_jaro_winkler | syn_cosine_bigrams | syn_cosine_trigrams | cls_euclidean | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,greedy_pearson,"{""threshold"": 0.85}",38,syn_jaro_winkler | syn_cosine_bigrams | cls_euclidean | cls_chebyshev | syn_lcs_ratio | syn_jaccard_trigrams | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | syn_len_b | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | syn_len_a | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | tda_h2_count_combined | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_count_src | tda_h2_entropy_src | tda_h2_count_tgt
stage1_first_benchmark,greedy_kendall,"{""threshold"": 0.85}",41,syn_jaro_winkler | syn_cosine_bigrams | syn_cosine_trigrams | cls_euclidean | cls_canberra | syn_jaccard_bigrams | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h0_count_combined | tda_h1_entropy_tgt | syn_len_b | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_count_combined | syn_len_a | tda_h1_max_life_src | tda_h1_entropy_src | tda_h0_count_tgt | tda_h0_count_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,cluster_spearman,"{""threshold"": 0.85}",33,syn_jaro_winkler | syn_cosine_bigrams | syn_cosine_trigrams | cls_euclidean | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
