method,pair_id,f1_all_to_all,precision_all_to_all,recall_all_to_all,source
MetaMatch,ChEMBL__Joinable__assays_both_50_50_ac4_ev,0.74,1.0,0.59,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_both_50_50_ac5_ev,0.9,1.0,0.82,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_both_50_50_ec_ev,0.95,1.0,0.91,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_both_50_70_ac1_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_both_50_70_ac2_ev,0.9,0.93,0.88,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_both_50_70_ac3_ev,0.97,1.0,0.94,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_both_50_70_ac4_ev,0.82,0.87,0.78,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_both_50_70_ac5_ev,0.8,1.0,0.67,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_both_50_70_ec_ev,0.99,1.0,0.99,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_1_ac1_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_1_ac2_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_1_ac3_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_1_ac4_ev,0.5,0.33,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_1_ac5_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_1_ec_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_30_ac1_ev,0.95,1.0,0.92,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_30_ac2_ev,0.96,0.93,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_30_ac3_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_30_ac4_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_30_ac5_ev,0.8,0.82,0.78,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_30_ec_ev,0.89,0.82,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_50_ac1_ev,0.98,0.96,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_50_ac2_ev,0.9,0.82,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_50_ac3_ev,0.98,0.96,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_50_ac4_ev,0.77,0.67,0.91,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_50_ac5_ev,0.95,1.0,0.91,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_50_ec_ev,0.88,0.79,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_70_ac1_ev,0.91,0.84,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_70_ac2_ev,0.89,0.8,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_70_ac3_ev,0.97,0.97,0.98,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_70_ac4_ev,0.87,0.81,0.94,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_70_ac5_ev,0.93,1.0,0.88,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Joinable__assays_vertical_70_ec_ev,0.9,0.83,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_1_ac1_av,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_1_ac2_av,0.0,0.0,0.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_1_ac3_av,0.0,0.0,0.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_1_ac4_av,0.0,0.0,0.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_1_ac5_av,0.0,0.0,0.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_1_ec_av,0.67,0.67,0.67,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_30_ac1_av,0.87,0.92,0.83,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_30_ac2_av,0.91,1.0,0.83,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_30_ac3_av,0.73,0.8,0.67,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_30_ac4_av,0.71,0.62,0.83,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_30_ac5_av,0.67,1.0,0.5,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_30_ec_av,0.92,0.86,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_50_ac1_av,0.81,0.69,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_50_ac2_av,0.86,0.91,0.82,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_50_ac3_av,0.85,0.9,0.82,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_50_ac4_av,0.75,0.84,0.68,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_50_ac5_av,0.75,0.83,0.68,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_50_ec_av,0.94,0.91,0.98,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_70_ac1_av,0.8,0.69,0.96,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_70_ac2_av,0.85,0.83,0.88,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_70_ac3_av,0.74,0.91,0.62,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_70_ac4_av,0.62,0.64,0.62,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_70_ac5_av,0.84,0.87,0.81,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_both_50_70_ec_av,0.85,0.76,0.97,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_1_ac1_av,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_1_ac2_av,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_1_ac3_av,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_1_ac4_av,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_1_ac5_av,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_1_ec_av,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_30_ac1_av,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_30_ac2_av,0.86,0.75,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_30_ac3_av,0.92,0.86,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_30_ac4_av,0.42,0.31,0.67,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_30_ac5_av,0.96,0.93,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_30_ec_av,0.86,0.75,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_50_ac1_av,0.81,0.7,0.95,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_50_ac2_av,0.92,0.85,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_50_ac3_av,0.96,0.92,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_50_ac4_av,0.73,0.73,0.73,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_50_ac5_av,0.69,0.6,0.82,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_50_ec_av,0.88,0.79,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_70_ac1_av,0.81,0.68,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_70_ac2_av,0.73,0.59,0.98,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_70_ac3_av,0.87,0.93,0.81,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_70_ac4_av,0.7,0.62,0.81,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_70_ac5_av,0.8,0.77,0.84,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Semantically-Joinable__assays_vertical_70_ec_av,0.84,0.73,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Unionable__assays_horizontal_0_ac1_av,0.86,0.81,0.91,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Unionable__assays_horizontal_0_ac1_ev,0.95,1.0,0.91,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Unionable__assays_horizontal_0_ac2_av,0.85,0.83,0.87,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Unionable__assays_horizontal_0_ac2_ev,0.92,0.92,0.91,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Unionable__assays_horizontal_0_ac3_av,0.9,0.89,0.91,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaMatch,ChEMBL__Unionable__assays_horizontal_0_ac3_ev,0.95,1.0,0.91,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
