pair_id,dataset,short_dataset,feature_build_sec_pair,feature_build_reduced_sec_pair,category,relation,model,scenario,rf_fit_sec_pair_share,rf_test_fold_appearances,runtime_sec_pair,runtime_note
OpenData__Semantically-Joinable__miller2_vertical_1_ac3_av,OpenData,miller2_vertical_1_ac3_av,180.176,75.36100213883816,OpenData,Semantically-Joinable,minilm,si_si2,5.92123784065059,1,186.09723784065056,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_both_50_70_ac5_ev,TPC-DI,prospect_both_50_70_ac5_ev,93.362,37.2276137920916,TPC-DI,Joinable,minilm,si_si2,5.42661401036749,1,98.78861401036748,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_30_ac4_av,TPC-DI,prospect_both_0_30_ac4_av,59.266,22.604383249472825,TPC-DI,View-Unionable,minilm,si_si2,6.490463595692778,1,65.75646359569278,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_30_ac1_ev,ChEMBL,assays_both_50_30_ac1_ev,59.846,22.96325956946612,ChEMBL,Joinable,minilm,si_si2,12.894884620442308,1,72.7408846204423,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_1_ac2_av,ChEMBL,assays_both_0_1_ac2_av,42.869,15.54935158701241,ChEMBL,View-Unionable,minilm,si_si2,6.490463595692778,1,49.35946359569278,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_1_ac4_av,OpenData,miller2_vertical_1_ac4_av,179.689,75.38458547064661,OpenData,Semantically-Joinable,minilm,si_si2,5.834418297165666,2,185.52341829716565,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_both_50_70_ec_ev,TPC-DI,prospect_both_50_70_ec_ev,93.219,36.90464349599183,TPC-DI,Joinable,minilm,si_si2,5.834418297165666,2,99.05341829716566,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_30_ac4_ev,TPC-DI,prospect_both_0_30_ac4_ev,59.028,22.751164996132253,TPC-DI,View-Unionable,minilm,si_si2,5.42661401036749,1,64.4546140103675,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_30_ac2_ev,ChEMBL,assays_both_50_30_ac2_ev,59.735,22.969568640589717,ChEMBL,Joinable,minilm,si_si2,5.615673451915668,1,65.35067345191567,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,ChEMBL,assays_both_0_1_ac2_ev,39.641,14.503549237906933,ChEMBL,View-Unionable,minilm,si_si2,5.549805419644571,2,45.19080541964457,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_1_ac5_av,OpenData,miller2_vertical_1_ac5_av,186.596,78.44618776915968,OpenData,Semantically-Joinable,minilm,si_si2,12.894884620442308,1,199.4908846204423,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
