method,pair_id,runtime_sec_pair,runtime_note
MetaSpace,ChEMBL__Semantically-Joinable__assays_vertical_1_ac2_av,30.7160160467133,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_vertical_1_ac3_av,37.55783214335139,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac1_ev,30.58418536355967,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac2_ev,30.464384494633475,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac5_ev,30.33687344841812,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ec_ev,37.55783214335139,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac3_ev,30.526305667903053,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac4_ev,30.278620974824747,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ec_ev,30.05997074818619,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ac3_ev,37.55783214335139,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ac4_ev,37.55783214335139,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ac5_ev,37.55783214335139,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
