method,method_raw,pair_id,pair_id_raw,f1_all_to_all,precision_all_to_all,recall_all_to_all,runtime,scenario,source,dataset_group,relation_group
MagnetoFTGPT,MagnetoFTGPT,OpenData__Unionable__miller2_horizontal_50_ec_ev,miller2_horizontal_50_ec_ev_source.csv,1.0,1.0,1.0,17.045783281326294,,/Users/nahawandkired/Desktop/si_si-magneto.csv,OpenData,Unionable
MagnetoFTGPT,MagnetoFTGPT,OpenData__Unionable__miller2_horizontal_50_ec_av,miller2_horizontal_50_ec_av_source.csv,1.0,1.0,1.0,19.017448902130127,,/Users/nahawandkired/Desktop/si_si-magneto.csv,OpenData,Unionable
SMUTF,,OpenData__View -Unionable__miller2_both_0_50_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
SMUTF,,OpenData__View -Unionable__miller2_both_0_50_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
SMUTF,,OpenData__View -Unionable__miller2_both_0_30_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
SMUTF,,OpenData__View -Unionable__miller2_both_0_30_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
SMUTF,,OpenData__View -Unionable__miller2_both_0_1_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
SMUTF,,OpenData__View -Unionable__miller2_both_0_1_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
MagnetoFTGPT,MagnetoFTGPT,OpenData__Unionable__miller2_horizontal_50_ac1_ev,miller2_horizontal_50_ac1_ev_source.csv,1.0,1.0,1.0,17.22854256629944,,/Users/nahawandkired/Desktop/si_si-magneto.csv,OpenData,Unionable
MagnetoFTGPT,MagnetoFTGPT,OpenData__Unionable__miller2_horizontal_50_ac1_av,miller2_horizontal_50_ac1_av_source.csv,1.0,1.0,1.0,19.35636639595032,,/Users/nahawandkired/Desktop/si_si-magneto.csv,OpenData,Unionable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_0_ac3_av,assays_horizontal_0_ac3_av_source.csv,1.0,1.0,1.0,2.2527754306793213,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
SMUTF,,TPC-DI__Joinable__prospect_both_50_70_ac1_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Joinable
