config,fold_id,pair_id,n_rows,n_pos,precision,recall,f1,n_features
topological_only,0,ChEMBL__Unionable__assays_horizontal_0_ac2_ev,529,23,1.0,0.21739130434782608,0.35714285714285715,31
topological_only,0,TPC-DI__Unionable__prospect_horizontal_100_ac5_av,484,22,1.0,0.09090909090909091,0.16666666666666666,31
topological_only,0,ChEMBL__Unionable__assays_horizontal_0_ac3_av,529,23,1.0,0.043478260869565216,0.08333333333333333,31
topological_only,0,OpenData__Joinable__miller2_vertical_50_ec_ev,1444,25,0.0,0.0,0.0,31
topological_only,0,OpenData__Joinable__miller2_vertical_70_ac2_ev,1849,35,1.0,0.08571428571428572,0.15789473684210525,31
topological_only,0,ChEMBL__Unionable__assays_horizontal_0_ac4_ev,529,23,0.8571428571428571,0.2608695652173913,0.4,31
topological_only,0,OpenData__Joinable__miller2_vertical_70_ac4_ev,1849,35,0.8333333333333334,0.14285714285714285,0.24390243902439024,31
topological_only,0,OpenData__View -Unionable__miller2_both_0_70_ac3_ev,1849,35,0.0,0.0,0.0,31
topological_only,0,TPC-DI__Unionable__prospect_horizontal_50_ac1_ev,484,22,1.0,0.045454545454545456,0.08695652173913043,31
topological_only,0,OpenData__View -Unionable__miller2_both_0_70_ac4_av,1849,35,1.0,0.11428571428571428,0.20512820512820512,31
topological_only,0,ChEMBL__Unionable__assays_horizontal_0_ec_ev,529,23,1.0,0.08695652173913043,0.16,31
topological_only,0,OpenData__Semantically-Joinable__miller2_both_50_1_ac1_av,676,1,0.0,0.0,0.0,31
topological_only,0,TPC-DI__Unionable__prospect_horizontal_50_ac3_ev,484,22,1.0,0.18181818181818182,0.3076923076923077,31
topological_only,0,OpenData__Semantically-Joinable__miller2_both_50_1_ac4_av,676,1,0.0,0.0,0.0,31
topological_only,0,OpenData__View -Unionable__miller2_both_0_70_ec_ev,1849,35,1.0,0.02857142857142857,0.05555555555555555,31
topological_only,0,TPC-DI__Unionable__prospect_horizontal_50_ac4_ev,484,22,0.875,0.3181818181818182,0.4666666666666667,31
topological_only,0,OpenData__Semantically-Joinable__miller2_both_50_1_ac5_av,676,1,0.0,0.0,0.0,31
topological_only,0,TPC-DI__Unionable__prospect_horizontal_50_ac5_av,484,22,1.0,0.09090909090909091,0.16666666666666666,31
topological_only,0,OpenData__Semantically-Joinable__miller2_both_50_1_ec_av,676,1,0.0,0.0,0.0,31
topological_only,0,TPC-DI__Joinable__prospect_both_50_1_ac2_ev,132,1,0.0,0.0,0.0,31
topological_only,0,ChEMBL__Unionable__assays_horizontal_100_ac4_av,529,23,1.0,0.2608695652173913,0.41379310344827586,31
topological_only,0,TPC-DI__Joinable__prospect_both_50_1_ac4_ev,132,1,0.0,0.0,0.0,31
topological_only,0,TPC-DI__View-Unionable__prospect_both_0_1_ac1_ev,132,1,0.0,0.0,0.0,31
topological_only,0,OpenData__Semantically-Joinable__miller2_both_50_30_ec_av,1089,15,0.0,0.0,0.0,31
topological_only,0,TPC-DI__Joinable__prospect_both_50_30_ac2_ev,196,6,1.0,0.16666666666666666,0.2857142857142857,31
topological_only,0,ChEMBL__Unionable__assays_horizontal_100_ec_ev,529,23,1.0,0.08695652173913043,0.16,31
topological_only,0,OpenData__Semantically-Joinable__miller2_both_50_50_ac1_av,1444,25,0.0,0.0,0.0,31
topological_only,0,TPC-DI__Joinable__prospect_both_50_30_ac3_ev,196,6,1.0,0.16666666666666666,0.2857142857142857,31
topological_only,0,TPC-DI__View-Unionable__prospect_both_0_1_ac3_av,132,1,0.0,0.0,0.0,31
topological_only,0,OpenData__Semantically-Joinable__miller2_both_50_50_ac2_av,1444,25,0.5,0.04,0.07407407407407407,31
topological_only,0,TPC-DI__Joinable__prospect_both_50_30_ac5_ev,196,6,1.0,0.16666666666666666,0.2857142857142857,31
topological_only,0,TPC-DI__Joinable__prospect_both_50_30_ec_ev,196,6,0.0,0.0,0.0,31
topological_only,0,TPC-DI__View-Unionable__prospect_both_0_1_ac4_ev,132,1,0.0,0.0,0.0,31
topological_only,0,TPC-DI__View-Unionable__prospect_both_0_1_ac5_av,132,1,0.0,0.0,0.0,31
topological_only,0,ChEMBL__Unionable__assays_horizontal_50_ac3_av,529,23,1.0,0.08695652173913043,0.16,31
topological_only,0,TPC-DI__View-Unionable__prospect_both_0_1_ec_ev,132,1,0.0,0.0,0.0,31
topological_only,0,TPC-DI__View-Unionable__prospect_both_0_30_ac1_av,196,6,0.0,0.0,0.0,31
topological_only,1,ChEMBL__Joinable__assays_both_50_1_ac1_ev,144,1,0.0,0.0,0.0,31
topological_only,1,OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,1849,35,0.0,0.0,0.0,31
topological_only,1,TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,196,6,0.0,0.0,0.0,31
topological_only,1,ChEMBL__Joinable__assays_both_50_1_ac2_ev,144,1,0.0,0.0,0.0,31
topological_only,1,ChEMBL__Unionable__assays_horizontal_50_ac5_ev,529,23,1.0,0.043478260869565216,0.08333333333333333,31
topological_only,1,TPC-DI__View-Unionable__prospect_both_0_30_ac2_av,196,6,0.0,0.0,0.0,31
topological_only,1,ChEMBL__Joinable__assays_both_50_1_ac3_ev,144,1,0.0,0.0,0.0,31
topological_only,1,OpenData__Semantically-Joinable__miller2_both_50_70_ec_av,1849,35,0.0,0.0,0.0,31
topological_only,1,ChEMBL__Joinable__assays_both_50_1_ac5_ev,144,1,0.0,0.0,0.0,31
topological_only,1,TPC-DI__View-Unionable__prospect_both_0_30_ac3_ev,196,6,1.0,0.16666666666666666,0.2857142857142857,31
topological_only,1,OpenData__Semantically-Joinable__miller2_vertical_1_ac3_av,676,1,0.0,0.0,0.0,31
topological_only,1,ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,144,1,0.0,0.0,0.0,31
topological_only,1,TPC-DI__Joinable__prospect_vertical_1_ac3_ev,132,1,0.0,0.0,0.0,31
topological_only,1,TPC-DI__Joinable__prospect_vertical_1_ac4_ev,132,1,0.0,0.0,0.0,31
topological_only,1,ChEMBL__Joinable__assays_both_50_30_ec_ev,210,6,0.0,0.0,0.0,31
topological_only,1,OpenData__Semantically-Joinable__miller2_vertical_30_ac3_av,1089,15,0.0,0.0,0.0,31
