config,fold_id,pair_id,n_rows,n_pos,precision,recall,f1,n_features
syn_topological,0,ChEMBL__Unionable__assays_horizontal_50_ac3_av,529,23,1.0,0.2608695652173913,0.41379310344827586,53
syn_topological,0,TPC-DI__View-Unionable__prospect_both_0_1_ec_ev,132,1,0.0,0.0,0.0,53
syn_topological,0,TPC-DI__View-Unionable__prospect_both_0_30_ac1_av,196,6,0.0,0.0,0.0,53
syn_topological,1,ChEMBL__Joinable__assays_both_50_1_ac1_ev,144,1,0.0,0.0,0.0,53
syn_topological,1,OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,1849,35,1.0,0.3142857142857143,0.4782608695652174,53
syn_topological,1,TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,196,6,1.0,0.16666666666666666,0.2857142857142857,53
syn_topological,1,ChEMBL__Joinable__assays_both_50_1_ac2_ev,144,1,0.0,0.0,0.0,53
syn_topological,1,ChEMBL__Unionable__assays_horizontal_50_ac5_ev,529,23,1.0,0.34782608695652173,0.5161290322580645,53
syn_topological,1,TPC-DI__View-Unionable__prospect_both_0_30_ac2_av,196,6,1.0,0.5,0.6666666666666666,53
syn_topological,1,ChEMBL__Joinable__assays_both_50_1_ac3_ev,144,1,0.0,0.0,0.0,53
syn_topological,1,OpenData__Semantically-Joinable__miller2_both_50_70_ec_av,1849,35,0.9375,0.42857142857142855,0.5882352941176471,53
syn_topological,1,ChEMBL__Joinable__assays_both_50_1_ac5_ev,144,1,0.0,0.0,0.0,53
syn_topological,1,TPC-DI__View-Unionable__prospect_both_0_30_ac3_ev,196,6,1.0,0.16666666666666666,0.2857142857142857,53
syn_topological,1,OpenData__Semantically-Joinable__miller2_vertical_1_ac3_av,676,1,1.0,1.0,1.0,53
syn_topological,1,ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,144,1,0.0,0.0,0.0,53
syn_topological,1,TPC-DI__Joinable__prospect_vertical_1_ac3_ev,132,1,1.0,1.0,1.0,53
syn_topological,1,TPC-DI__Joinable__prospect_vertical_1_ac4_ev,132,1,1.0,1.0,1.0,53
syn_topological,1,ChEMBL__Joinable__assays_both_50_30_ec_ev,210,6,1.0,0.3333333333333333,0.5,53
syn_topological,1,OpenData__Semantically-Joinable__miller2_vertical_30_ac3_av,1089,15,1.0,0.5333333333333333,0.6956521739130435,53
syn_topological,1,TPC-DI__View-Unionable__prospect_both_0_50_ac1_av,272,11,1.0,0.09090909090909091,0.16666666666666666,53
syn_topological,1,ChEMBL__Joinable__assays_both_50_50_ac1_ev,289,11,1.0,0.2727272727272727,0.42857142857142855,53
syn_topological,1,OpenData__Semantically-Joinable__miller2_vertical_30_ac4_av,1089,15,1.0,0.4,0.5714285714285714,53
